iter	Passed	Remaining
283	439	1107
284	440	1104
285	441	1101
286	442	1098
287	442	1095
288	443	1091
289	444	1088
290	445	1085
291	446	1082
292	447	1079
293	448	1076
294	449	1073
295	450	1070
296	451	1067
297	452	1065
298	453	1062
299	453	1059
300	454	1056
301	455	1053
302	456	1050
303	457	1047
304	458	1044
305	459	1041
306	460	1038
307	461	1035
308	461	1032
309	462	1030
310	463	1027
311	464	1024
312	465	1021
313	466	1019
314	467	1016
315	468	1013
316	469	1011
317	470	1008
318	471	1005
319	471	1002
320	472	1000
321	473	997
322	474	994
323	475	992
324	476	989
325	477	986
326	478	984
327	479	981
328	480	979
329	480	976
330	482	974
331	483	971
332	483	969
333	484	966
334	485	964
335	486	961
336	487	959
337	488	956
338	489	953
339	490	951
340	490	948
341	491	946
342	492	943
343	493	941
344	494	938
345	495	936
346	496	934
347	497	932
348	498	929
349	499	927
350	500	925
351	501	922
352	502	920
353	503	918
354	503	915
355	504	913
356	505	911
357	506	908
358	507	906
359	508	904
360	509	901
361	510	899
362	511	897
363	512	895
364	513	892
365	514	890
366	515	888
367	515	885
368	516	883
369	517	880
370	518	878
371	519	876
372	520	874
373	520	871
374	521	869
375	522	867
376	523	865
377	524	863
378	525	861
379	526	858
380	527	856
381	528	854
382	529	852
383	529	850
384	530	848
385	531	845
386	532	843
387	533	841
388	534	839
389	535	837
390	536	834
391	536	832
392	537	830
393	538	828
394	539	826
395	540	824
396	541	822
397	542	820
398	543	818
399	544	816
400	545	814
401	546	812
402	546	810
403	547	808
404	548	806
405	549	804
406	550	802
407	551	800
408	552	798
409	553	796
410	554	794
411	554	791
412	555	789
413	556	788
414	557	786
415	558	784
416	559	782
417	560	780
418	561	778
419	562	776
420	563	775
421	564	773
422	565	771
423	566	769
424	567	767
425	568	766
426	569	764
427	570	762
428	571	761
429	572	759
430	573	757
431	574	755
432	575	754
433	577	752
434	577	750
435	579	749
436	579	746
437	580	744
438	581	742
439	582	741
440	583	739
441	584	737
442	584	735
443	585	733
444	587	732
445	587	730
446	588	728
447	589	726
448	590	724
449	591	722
450	592	720
451	593	719
452	593	717
453	594	715
454	595	713
455	596	711
456	597	709
457	598	708
458	599	706
459	600	704
460	601	702
461	602	701
462	602	699
463	603	697
464	604	695
465	605	694
466	606	692
467	607	690
468	608	688
469	609	687
470	610	685
471	611	683
472	612	681
473	612	680
474	613	678
475	614	676
476	615	675
